StartTime,Direction,TalkingDuration,Answered,CallType,CallID,Status,To
2026-05-26T14:04:13.247902+07:00,Inbound Queue,PT2.251588S,True,Queue,1,Waiting,8196
2026-05-26T14:04:13.460829+07:00,Inbound,PT3M10.015827S,True,Extension,1,Answered,0114
2026-05-26T14:26:04.568518+07:00,Inbound,PT12.065743S,True,Digital Receptionist,1,Answered,8439
2026-05-26T14:26:16.733849+07:00,Inbound Queue,PT5.23233S,True,Queue,1,Waiting,8196
2026-05-26T14:26:17.444647+07:00,Inbound,PT2M54.522912S,True,Extension,1,Answered,0112
2026-05-26T14:27:54.772762+07:00,Inbound,PT12.066346S,True,Digital Receptionist,1,Answered,8439
2026-05-26T14:28:07.039779+07:00,Inbound Queue,PT2.999848S,True,Queue,1,Waiting,8196
2026-05-26T14:28:07.705809+07:00,Inbound,PT4M44.85566S,True,Extension,1,Answered,0114
2026-05-26T14:40:28.719864+07:00,Inbound,PT12.144852S,True,Digital Receptionist,1,Answered,8439
2026-05-26T14:40:40.985525+07:00,Inbound Queue,PT7.081485S,True,Queue,1,Waiting,8196
2026-05-26T14:40:41.779471+07:00,Inbound,PT53.791164S,True,Extension,1,Answered,0112
2026-05-26T14:52:07.839186+07:00,Inbound,PT12.068972S,True,Digital Receptionist,1,Answered,8439
2026-05-26T14:52:20.106834+07:00,Inbound Queue,PT3.010895S,True,Queue,1,Waiting,8196
2026-05-26T14:52:20.730926+07:00,Inbound,PT9M55.816109S,True,Extension,1,Answered,0114
2026-05-26T14:59:30.779167+07:00,Inbound,PT12.148246S,True,Digital Receptionist,1,Answered,8439
2026-05-26T14:59:42.94595+07:00,Inbound Queue,PT5.69262S,True,Queue,1,Waiting,8196
2026-05-26T14:59:43.151912+07:00,Inbound,PT4M46.22841S,True,Extension,1,Answered,0112
2026-05-26T15:05:52.805054+07:00,Inbound,PT12.063893S,True,Digital Receptionist,1,Answered,8439
2026-05-26T15:06:05.015841+07:00,Inbound Queue,PT2.914993S,True,Queue,1,Waiting,8196
2026-05-26T15:06:05.660903+07:00,Inbound,PT47.750937S,True,Extension,1,Answered,0114
2026-05-26T15:06:53.077458+07:00,Inbound,PT1M41.848775S,True,Extension,1,Answered,0112
2026-05-26T15:22:20.099324+07:00,Inbound,PT16.0936S,True,Digital Receptionist,1,Answered,8439
2026-05-26T15:22:36.391752+07:00,Inbound Queue,PT2.962484S,True,Queue,1,Waiting,8196
2026-05-26T15:22:37.097772+07:00,Inbound,PT14.815146S,True,Extension,1,Answered,0112
2026-05-26T15:26:50.082559+07:00,Inbound,PT11.966395S,True,Digital Receptionist,1,Answered,8439
2026-05-26T15:27:02.148266+07:00,Inbound Queue,PT2.687625S,True,Queue,1,Waiting,8196
2026-05-26T15:27:02.768442+07:00,Inbound,PT8M3.844834S,True,Extension,1,Answered,0114
2026-05-26T15:32:37.571481+07:00,Inbound,PT11.969519S,True,Digital Receptionist,1,Answered,8439
2026-05-26T15:32:49.71228+07:00,Inbound Queue,PT3.429048S,True,Queue,1,Waiting,8196
2026-05-26T15:32:50.297352+07:00,Inbound,PT59.410452S,True,Extension,1,Answered,0112
2026-05-26T15:35:47.521763+07:00,Inbound,PT12.152035S,True,Digital Receptionist,1,Answered,8439
